Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South)
10/02/2015,12,35,1598,652,1275,2290,3308,0,2987,0,1022,464,421,116,560,1464,1832,535,748,1758,2778,2011,768,1190,643,1036,0,314,1234,1026,483,261,342,808,945,387,3695,1009
10/02/2015,13,61,1715,777,1508,2425,3507,0,3276,0,912,417,427,113,496,1532,1927,616,598,1691,3105,1921,724,1259,697,1139,0,349,1298,975,512,319,444,770,703,398,4015,1159
10/02/2015,14,24,787,483,1022,2148,3093,0,2113,0,516,250,233,77,201,1560,1268,428,298,1019,2664,1606,420,778,532,910,0,173,1053,670,362,231,216,369,456,303,3746,636
10/02/2015,15,30,648,530,1284,2122,3042,0,2074,0,683,261,230,92,179,1521,1274,462,284,785,2743,1869,441,746,586,894,0,154,1208,539,444,210,233,238,471,249,4110,698
10/02/2015,16,17,746,1006,2378,2228,3119,0,2112,0,1546,444,238,60,261,2000,1528,761,571,621,3194,2729,516,744,749,975,0,139,1585,669,335,303,247,271,510,159,4603,527
10/02/2015,17,20,1206,1833,4097,2448,2991,0,2084,0,2484,619,331,81,543,2708,2979,1618,943,625,3690,3753,715,928,1167,1040,0,176,2227,790,415,468,403,359,806,26,5122,575
10/02/2015,18,33,772,827,1714,2199,2380,0,1375,0,994,342,429,96,318,2073,1695,859,1155,547,2885,2120,398,877,871,1032,0,204,1682,766,419,179,278,304,467,154,3927,315
10/02/2015,19,26,428,294,623,1878,1625,0,643,0,330,201,410,95,171,1850,1004,433,882,454,2111,1013,254,940,440,1012,0,145,1541,689,602,108,207,172,287,312,2915,279
10/02/2015,20,14,301,174,339,1663,1315,0,445,0,163,92,391,96,130,1298,787,422,287,360,1692,603,170,793,386,825,0,95,557,559,936,66,143,104,155,394,2328,188
10/02/2015,21,15,192,116,209,1559,1080,0,335,0,112,72,316,109,116,1089,728,293,163,300,1379,515,188,634,386,664,0,80,601,490,833,73,115,101,154,374,1832,199
10/02/2015,22,5,138,76,130,1030,679,0,185,0,67,47,189,37,47,1316,676,279,848,267,1112,326,125,505,213,504,0,58,1027,432,592,64,172,92,91,175,1740,122
10/02/2015,23,0,124,46,76,609,444,0,120,0,58,6,117,27,34,585,372,220,222,154,685,215,70,300,105,226,0,41,327,278,260,29,72,84,46,116,1197,75
11/02/2015,0,4,39,9,17,241,174,0,58,0,15,7,32,17,9,157,117,48,39,97,272,80,29,144,38,93,0,15,63,157,105,14,20,31,25,21,400,49
11/02/2015,1,1,27,7,15,155,90,0,42,0,6,1,11,7,2,93,60,34,11,51,60,23,7,130,23,66,0,7,37,58,49,7,16,1,12,9,199,21
11/02/2015,2,0,27,2,13,81,50,0,6,0,2,2,14,8,5,29,35,16,7,41,46,8,4,68,10,13,0,5,19,43,29,4,3,4,9,4,77,3
11/02/2015,3,1,6,2,4,30,30,0,6,0,2,2,14,0,0,27,15,9,16,30,38,14,5,183,5,20,0,6,54,47,5,2,2,6,4,6,91,4
11/02/2015,4,1,6,5,3,25,33,0,15,0,3,1,6,0,0,36,8,30,8,33,34,19,4,62,8,13,0,2,53,30,6,0,11,6,1,4,125,4
11/02/2015,5,0,67,20,87,62,74,0,28,0,45,12,11,5,26,106,108,83,35,31,133,152,34,13,58,14,0,8,134,16,13,11,12,13,11,13,280,20
11/02/2015,6,1,212,170,622,153,163,0,85,0,346,83,108,21,139,322,493,263,234,98,521,708,130,91,275,26,0,29,377,55,31,79,65,119,80,14,583,73
11/02/2015,7,5,774,777,2130,378,568,0,222,0,1390,305,228,58,275,910,1138,564,540,179,1273,1871,447,150,607,92,0,62,945,139,83,201,157,237,246,53,1638,244
11/02/2015,8,14,1905,1732,5068,925,1181,0,597,0,2685,511,339,113,410,1828,2442,1281,797,440,2714,3559,1110,315,797,224,0,158,2041,305,185,439,264,540,745,187,3571,830
11/02/2015,9,6,1162,899,2491,850,1187,0,835,0,1227,309,202,55,187,977,1407,490,372,519,1856,2040,681,302,403,181,0,117,1022,307,170,281,209,429,517,172,2572,638
11/02/2015,10,6,759,424,961,955,1701,0,1215,0,428,196,163,33,144,918,919,343,297,564,1560,1575,431,384,298,347,0,144,664,366,204,173,167,327,509,199,2649,614
11/02/2015,11,10,718,406,804,997,2031,0,1611,0,389,184,170,53,134,1021,1074,487,315,625,1939,1316,496,476,842,537,0,108,825,458,232,203,164,299,437,203,2921,556
11/02/2015,12,47,1565,663,1163,2276,3158,0,2782,0,936,468,391,94,504,1399,1784,592,443,1205,2827,1957,754,1131,929,1027,0,234,1179,1025,425,300,313,795,838,417,3630,1142
11/02/2015,13,44,1697,645,1375,2404,3543,0,3187,0,850,377,340,106,489,1433,1863,476,482,1086,2937,1986,627,1146,630,1096,0,164,1087,1074,519,307,363,804,611,401,4092,1035
11/02/2015,14,30,818,489,1066,2144,3017,0,2204,0,462,230,191,64,182,1419,1318,502,441,776,2412,1478,403,849,556,933,0,149,1051,693,295,232,231,393,512,188,3586,629
11/02/2015,15,29,661,500,1253,2108,2911,0,2269,0,602,218,233,63,218,1588,1260,604,490,661,2584,1811,403,730,591,857,0,126,1387,580,325,197,216,275,493,232,3863,643
11/02/2015,16,29,702,903,2310,2359,2984,0,2260,0,1418,380,175,35,251,1922,1506,783,455,799,3055,2600,452,817,766,802,0,141,1635,606,305,294,214,282,489,158,4190,497
11/02/2015,17,47,1313,1767,3944,2527,3291,0,2180,0,2323,583,301,77,527,2733,2573,1472,834,1298,3632,3659,686,971,997,930,0,268,2217,799,416,448,336,368,853,142,4909,577
11/02/2015,18,30,830,786,1727,2087,2619,0,1375,0,945,342,272,79,320,1786,1632,919,1160,1375,2755,1951,338,994,706,1047,0,396,1161,771,472,256,228,254,477,271,3800,368
11/02/2015,19,12,386,333,603,1999,1739,0,604,0,297,136,209,33,171,1209,1095,487,377,1477,2084,987,199,894,346,1033,0,330,707,691,636,112,151,210,291,344,2591,322
11/02/2015,20,15,235,154,358,1721,1308,0,357,0,136,120,219,38,86,943,783,369,280,1359,1622,592,174,795,298,855,0,571,371,656,648,76,114,82,244,307,2101,221
11/02/2015,21,12,209,96,220,1338,1076,0,333,0,97,57,162,43,90,879,782,274,154,933,1425,512,122,654,237,633,0,419,403,488,723,63,138,74,203,236,1855,196
11/02/2015,22,8,141,73,164,940,708,0,204,0,64,33,115,28,53,710,614,368,91,629,1009,362,103,478,220,480,0,229,289,423,544,43,93,70,112,182,1445,131
11/02/2015,23,3,118,42,104,555,409,0,119,0,37,21,64,24,25,369,337,183,23,185,621,189,66,238,146,243,0,55,146,279,236,22,55,35,66,81,1085,67
12/02/2015,0,0,42,18,47,262,187,0,65,0,12,10,30,3,20,129,142,71,17,123,254,76,31,180,94,111,0,19,52,194,128,11,14,25,76,28,450,53
12/02/2015,1,1,37,14,20,142,109,0,42,0,11,7,25,4,1,52,66,13,7,74,98,28,5,118,19,58,0,11,26,77,44,4,18,2,45,undefined,146,7
12/02/2015,2,0,9,2,10,68,47,0,14,0,11,1,1,0,0,16,30,6,7,47,40,26,2,44,6,36,0,13,13,29,33,4,6,2,53,undefined,116,9
12/02/2015,3,0,3,0,9,25,35,0,17,0,1,1,3,0,2,35,35,12,15,35,35,12,9,50,6,9,0,7,33,24,10,3,7,15,36,undefined,82,2
12/02/2015,4,2,12,2,13,37,31,0,22,0,3,0,5,1,4,40,37,36,11,45,25,28,6,44,6,9,0,6,40,28,8,4,2,4,8,undefined,84,4
12/02/2015,5,0,62,24,112,60,82,0,33,0,50,14,14,1,27,105,129,96,45,72,128,183,27,27,39,8,0,13,105,31,10,15,21,13,11,undefined,240,22
12/02/2015,6,2,203,183,648,153,180,0,89,0,362,83,115,11,126,323,478,238,219,156,504,783,137,89,234,20,0,37,251,51,40,75,37,66,83,undefined,552,62
12/02/2015,7,4,851,832,2211,365,535,0,236,0,1360,294,205,46,293,950,1167,595,556,314,1293,1699,434,120,516,101,0,84,780,134,111,197,138,210,290,undefined,1467,239
12/02/2015,8,19,1812,1766,5070,904,1115,0,580,0,2903,437,308,71,410,1651,2529,1328,742,564,2738,3548,1029,301,781,203,0,191,1529,277,196,357,359,558,745,undefined,3317,789
12/02/2015,9,11,1237,1045,2523,902,1297,0,750,0,1340,304,145,29,187,1091,1380,592,331,626,1635,2135,570,294,383,208,0,182,896,344,199,261,245,433,500,undefined,2445,616
12/02/2015,10,14,712,493,984,1111,1558,0,1093,0,544,214,129,32,134,882,978,348,269,866,1608,1431,457,403,340,427,0,160,651,409,226,174,137,336,512,undefined,2498,687
12/02/2015,11,17,694,406,849,1420,2310,0,1592,0,456,175,206,47,138,1198,998,554,376,1013,1963,1316,374,520,424,586,0,215,930,514,294,188,159,273,516,undefined,3034,569
12/02/2015,12,30,1745,670,1257,2435,3394,0,2954,0,999,423,467,115,602,1680,1950,634,714,1874,2840,2098,717,1371,664,1052,0,313,1158,1089,406,317,353,813,886,undefined,3859,954
12/02/2015,13,44,1671,700,1484,2707,3695,0,3562,0,975,457,375,110,560,1683,2030,537,578,1711,3110,2008,749,1124,1139,1111,0,286,1398,1096,555,279,365,851,710,undefined,4290,1069
12/02/2015,14,33,840,510,1027,2271,3232,0,2551,0,526,276,232,48,234,1608,1365,476,435,1188,2694,1506,452,799,599,902,0,240,1412,635,396,202,204,391,429,undefined,3981,688
12/02/2015,15,21,735,562,1319,2449,3187,0,2589,0,710,247,210,60,198,1790,1413,566,548,845,2662,1825,459,846,662,851,0,187,1394,685,450,228,279,376,566,undefined,4346,649
12/02/2015,16,26,774,984,2379,2429,3220,0,2551,0,1424,367,267,89,252,2064,1803,797,488,725,3154,2595,499,815,809,829,0,209,1574,659,382,344,266,316,524,undefined,4628,513
12/02/2015,17,63,1292,1735,3985,2721,3569,0,2497,0,2309,577,368,81,590,2942,2704,1664,962,688,3851,3621,738,960,1199,1071,0,236,2385,864,500,409,353,428,817,undefined,5319,610
12/02/2015,18,50,832,895,1691,2467,2955,0,1861,0,934,335,349,85,388,2407,1787,948,752,566,3056,1926,345,1030,935,1154,0,165,2029,882,506,243,242,273,451,undefined,4469,359
12/02/2015,19,30,445,347,582,2150,2152,0,1182,0,290,158,302,65,154,2075,1161,600,387,495,2203,1131,248,957,436,1050,0,155,2074,720,699,103,149,176,261,undefined,3391,283
12/02/2015,20,25,301,172,366,1884,1781,0,909,0,142,126,320,87,134,1329,937,396,257,377,1881,624,167,829,470,1012,0,136,745,736,616,95,144,117,191,undefined,2665,268
12/02/2015,21,5,259,128,218,1686,1928,0,527,0,123,93,214,56,86,1571,932,429,204,302,1617,546,156,793,289,786,0,105,1030,657,646,68,125,151,241,undefined,2699,197
12/02/2015,22,6,168,74,116,1312,1228,0,327,0,58,62,88,31,49,1889,633,308,145,212,1192,370,137,636,251,603,0,67,1704,497,433,51,129,138,128,undefined,2268,162
12/02/2015,23,2,119,46,116,847,816,0,166,0,36,31,72,7,33,651,483,243,48,129,782,188,99,519,93,312,0,45,309,386,237,43,66,50,72,undefined,1533,94
13/02/2015,0,1,35,26,61,472,636,0,91,0,8,10,29,7,15,226,150,90,27,121,382,125,45,317,58,152,0,29,102,286,121,7,22,26,49,undefined,734,41
13/02/2015,1,0,35,13,18,251,157,0,68,0,6,9,7,3,1,105,100,30,7,69,126,39,10,179,24,97,0,16,60,203,40,3,7,10,31,undefined,345,5
13/02/2015,2,1,13,5,15,129,149,0,30,0,9,5,11,2,0,16,51,14,11,55,58,19,15,146,21,46,0,12,13,140,13,5,5,3,18,undefined,216,12
13/02/2015,3,1,6,3,14,200,93,0,19,0,2,1,11,1,0,66,53,25,25,38,72,26,15,163,26,28,0,7,66,103,14,2,5,7,9,undefined,214,16
13/02/2015,4,0,34,4,5,59,57,0,37,0,6,11,4,3,2,42,36,32,6,47,60,21,11,105,10,20,0,4,47,67,3,5,12,19,8,undefined,184,2
13/02/2015,5,0,47,28,108,72,86,0,35,0,40,23,11,3,16,101,130,75,50,64,175,154,30,49,47,8,0,15,106,89,7,14,17,16,8,undefined,290,15
13/02/2015,6,0,208,150,600,161,177,0,81,0,353,82,89,14,129,317,488,265,205,143,553,671,120,82,220,22,0,55,368,76,35,59,55,55,88,undefined,634,52
13/02/2015,7,5,774,721,2204,381,497,0,253,0,1318,289,166,38,260,957,1111,560,528,290,1294,1706,455,152,453,96,0,104,999,154,76,198,143,186,232,undefined,1578,206
13/02/2015,8,12,1837,1735,4866,969,1154,0,571,0,2637,466,328,71,414,1776,2342,1207,737,579,2626,3590,1041,296,805,284,0,173,2047,317,219,397,274,556,725,undefined,3379,653
13/02/2015,9,8,1264,939,2758,921,1300,0,820,0,1542,388,181,30,212,1469,1417,498,314,743,1879,2182,805,311,411,204,0,185,1256,347,181,271,216,520,509,undefined,2553,668
